Product Name,Target,Pathway
L-Arginine,Endogenous Metabolite; NO Synthase,Immunology/Inflammation; Metabolic Enzyme/Protease
Monotropein,Others,Others
L-Canavanine sulfate,NO Synthase,Immunology/Inflammation
Fenchyl alcohol,Others,Others
"3,4-Dimethoxyphenylacetic acid",Endogenous Metabolite,Metabolic Enzyme/Protease
"2,5-Furandicarboxylic acid",Endogenous Metabolite,Metabolic Enzyme/Protease
"(3S,4R,5S)-1,3,4,5,6-Pentahydroxyhexan-2-one",Endogenous Metabolite,Metabolic Enzyme/Protease
α-Lactose,Others,Others
Fosfructose (trisodium),Endogenous Metabolite,Metabolic Enzyme/Protease
Salidroside,Apoptosis; mTOR; Prolyl Endopeptidase  (PREP),Apoptosis; Metabolic Enzyme/Protease; PI3K/Akt/mTOR
Disodium succinate,Endogenous Metabolite,Metabolic Enzyme/Protease
H-Tyr(3-I)-OH,Endogenous Metabolite,Metabolic Enzyme/Protease
L-Alanine,Endogenous Metabolite,Metabolic Enzyme/Protease
D-chiro-Inositol,Endogenous Metabolite,Metabolic Enzyme/Protease
Endomorphin 1,Opioid Receptor,GPCR/G Protein; Neuronal Signaling
NADP (disodium salt),Others,Others
Notoginsenoside Fe,Others,Others
Methyl β-D-glucopyranoside,Others,Others
Dimethyl sulfone,Endogenous Metabolite,Metabolic Enzyme/Protease
H-Abu-OH,Endogenous Metabolite,Metabolic Enzyme/Protease
DL-Homocystine,Endogenous Metabolite,Metabolic Enzyme/Protease
Maltohexaose,Endogenous Metabolite,Metabolic Enzyme/Protease
Isomaltose,Endogenous Metabolite,Metabolic Enzyme/Protease
Leucyl-phenylalanine,Endogenous Metabolite,Metabolic Enzyme/Protease
Maltopentaose,Endogenous Metabolite,Metabolic Enzyme/Protease
β-Nicotinamide mononucleotide,Endogenous Metabolite,Metabolic Enzyme/Protease
DL-O-Phosphoserine,Endogenous Metabolite,Metabolic Enzyme/Protease
3-Hydroxybutyric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Hypotaurine,Endogenous Metabolite,Metabolic Enzyme/Protease
3-(Methylthio)propionic acid,Endogenous Metabolite; Fungal,Anti-infection; Metabolic Enzyme/Protease
D-Allothreonine,Endogenous Metabolite,Metabolic Enzyme/Protease
Sodium 2-hydroxybutanoate,Endogenous Metabolite,Metabolic Enzyme/Protease
Aminomalonic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
D-Ornithine (hydrochloride),Endogenous Metabolite,Metabolic Enzyme/Protease
L-Homocystine,Endogenous Metabolite,Metabolic Enzyme/Protease
(S)-3-Hydroxybutanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Glycylglycine,Endogenous Metabolite,Metabolic Enzyme/Protease
Biocytin,Endogenous Metabolite,Metabolic Enzyme/Protease
2-Hydroxyadipic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Methionine sulfoxide,Endogenous Metabolite,Metabolic Enzyme/Protease
(-)-Aspartic acid,Endogenous Metabolite; iGluR,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
D-Pipecolinic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Ribitol,Endogenous Metabolite,Metabolic Enzyme/Protease
D-α-Hydroxyglutaric acid (disodium),ATP Synthase; Endogenous Metabolite; mTOR; Reactive Oxygen Species,Immunology/Inflammation; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; NF-κB; PI3K/Akt/mTOR
Angiotensin III (TFA),Angiotensin Receptor; Endogenous Metabolite,GPCR/G Protein; Metabolic Enzyme/Protease
1-Methylhistamine (dihydrochloride),Endogenous Metabolite,Metabolic Enzyme/Protease
(S)-b-aminoisobutyric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
H-HoArg-OH,Endogenous Metabolite,Metabolic Enzyme/Protease
Tartaric acid (disodium dihydrate),Endogenous Metabolite; Phosphatase,Metabolic Enzyme/Protease
Sinigrin,Others,Others
Glucoraphanin,Endogenous Metabolite; Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
NADP (sodium salt),Others,Others
Adenosine 5′-diphosphoribose (sodium),Autophagy; TRP Channel,Autophagy; Membrane Transporter/Ion Channel; Neuronal Signaling
2-Phenylethanol,Antibiotic; Bacterial; Virus Protease,Anti-infection
trans-Aconitic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
2'-Deoxyadenosine-5'-triphosphate (trisodium),DNA/RNA Synthesis; Endogenous Metabolite,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
5'-Guanylic acid (disodium salt),Endogenous Metabolite,Metabolic Enzyme/Protease
Pipecolic acid,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
Ethyl glucuronide,Endogenous Metabolite,Metabolic Enzyme/Protease
2'-Deoxycytidine (hydrochloride),Endogenous Metabolite; Nucleoside Antimetabolite/Analog,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Dipotassium glycyrrhizinate,Virus Protease,Anti-infection
DL-Homocysteine,Endogenous Metabolite,Metabolic Enzyme/Protease
Adenosine 5'-monophosphate monohydrate,Adenosine Receptor; Endogenous Metabolite; HSV,Anti-infection; GPCR/G Protein; Metabolic Enzyme/Protease
Ampicillin,Antibiotic; Bacterial,Anti-infection
Hydrocinnamic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Glycine,Endogenous Metabolite; iGluR,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
3-Chloro-L-tyrosine,Endogenous Metabolite,Metabolic Enzyme/Protease
L-SelenoMethionine,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
D-(+)-Trehalose,Endogenous Metabolite,Metabolic Enzyme/Protease
Phosphorylcholine (chloride),Endogenous Metabolite,Metabolic Enzyme/Protease
Oxoadipic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
D-Glutamine,Autophagy; Endogenous Metabolite; Ferroptosis; Mitophagy,Apoptosis; Autophagy; Metabolic Enzyme/Protease
Maltotriose,Endogenous Metabolite,Metabolic Enzyme/Protease
N6-Etheno 2'-deoxyadenosine,Endogenous Metabolite; Nucleoside Antimetabolite/Analog,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Butyrylcarnitine,Endogenous Metabolite,Metabolic Enzyme/Protease
(R)-Pantetheine,Endogenous Metabolite,Metabolic Enzyme/Protease
Maleic Acid,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
Cytidine-5'-triphosphate (disodium),Endogenous Metabolite,Metabolic Enzyme/Protease
(R)-3-Hydroxybutanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Cytidine 5'-monophosphate,Endogenous Metabolite,Metabolic Enzyme/Protease
Maltose monohydrate,Endogenous Metabolite,Metabolic Enzyme/Protease
L-Azetidine-2-carboxylic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
"2,3-Diaminopropionic acid hydrochloride",Endogenous Metabolite,Metabolic Enzyme/Protease
Endomorphin 2 (TFA),Opioid Receptor,GPCR/G Protein; Neuronal Signaling
L-Ornithine,Endogenous Metabolite,Metabolic Enzyme/Protease
L-Theanine,Apoptosis; Endogenous Metabolite; Reactive Oxygen Species,Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Methionine,Endogenous Metabolite; GABA Receptor,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Maltose,Endogenous Metabolite,Metabolic Enzyme/Protease
L-Phenylalanine,Calcium Channel; Endogenous Metabolite; iGluR,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
L-Histidine,Endogenous Metabolite; Mitochondrial Metabolism,Metabolic Enzyme/Protease
L-Isoleucine,Endogenous Metabolite,Metabolic Enzyme/Protease
L-Methionine,Endogenous Metabolite,Metabolic Enzyme/Protease
1-Methyl-L-histidine,Endogenous Metabolite,Metabolic Enzyme/Protease
Guanosine 5'-diphosphate (disodium salt),Endogenous Metabolite; Potassium Channel,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease
sn-Glycerol 3-phosphate,Endogenous Metabolite,Metabolic Enzyme/Protease
4-Guanidinobutanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
L-Cysteinesulfinic acid (monohydrate),Endogenous Metabolite; mGluR,GPCR/G Protein; Metabolic Enzyme/Protease; Neuronal Signaling
D-Alanine,Endogenous Metabolite,Metabolic Enzyme/Protease
Itaconic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Phosphorylcholine,Endogenous Metabolite,Metabolic Enzyme/Protease
Turanose,Endogenous Metabolite,Metabolic Enzyme/Protease
"L-Gulono-1,4-lactone",Endogenous Metabolite,Metabolic Enzyme/Protease
Afzelin,Autophagy; Bacterial; Mitochondrial Metabolism; PTEN,Anti-infection; Autophagy; Metabolic Enzyme/Protease; PI3K/Akt/mTOR
1-Hexanol,Others,Others
Retinyl palmitate,Endogenous Metabolite,Metabolic Enzyme/Protease
Cholesterol,Bacterial; Endogenous Metabolite; Estrogen Receptor/ERR,Anti-infection; Metabolic Enzyme/Protease; Others
DPPC,Endogenous Metabolite,Metabolic Enzyme/Protease
